"","thr","scale","shape","len","time","timeX"
"245",-0.0488559963733896,1.04697369371681,-0.32973435846703,1000,0.399598360061646,0.40683126449585
"246",0.0183807408526553,1.01788570064268,-0.255049424187039,1000,0.419039487838745,0.423571109771729
"247",0.544159906195099,0.759133422306097,-0.213879840654496,600,0.422751188278198,0.426162719726562
"248",0.720621377210096,0.615957204532664,-0.130834140288929,500,0.431577444076538,0.434282064437866
"249",0.0355812734698126,0.969287366016227,-0.219948344590856,1000,0.427306413650513,0.433389663696289
"250",NA,NA,NA,NA,0.149526834487915,0.149535894393921
"251",1.66163819879238,0.375991778615862,0.152015247475356,100,0.407887935638428,0.40848970413208
"252",0.420876250103682,0.790583982275975,-0.196170201993745,700,0.434048652648926,0.436874628067017
"253",1.02978984221953,0.588898470380077,-0.139257843839529,300,0.471778869628906,0.473807573318481
"254",-0.0383147705156373,1.10982337508668,-0.288444034751668,1000,0.461105585098267,0.465404748916626
"255",0.0304806218018577,1.00070650139146,-0.265617727619316,1000,0.429805278778076,0.435081481933594
"256",1.05328878722255,0.521931567421872,-0.0759543103025078,300,0.417228221893311,0.418555021286011
"257",-0.0276562503066444,1.02692352897651,-0.307561140871153,1000,0.589566469192505,0.595721006393433
"258",0.261345385357274,0.798063752445231,-0.221261480855339,800,0.407976150512695,0.411241054534912
"259",0.266238017173605,0.84043056373947,-0.212071438818916,800,0.418147802352905,0.422126531600952
"260",0.0170150592297073,1.07161447197395,-0.301737395569061,1000,0.438475370407104,0.442916870117188
"261",-0.00673298778922262,1.07879637557862,-0.352505664097513,1000,0.439730167388916,0.446781873703003
"262",0.0458989603994768,0.936701673594828,-0.212277993338821,1000,0.447879552841187,0.452070474624634
"263",0.63188036981311,0.6602044720296,-0.150479072584367,500,0.415833711624146,0.417963027954102
"264",-0.0416057244982335,0.984829433476404,-0.254463922649833,1000,0.438115835189819,0.442252397537231
"265",-0.00573589826964984,0.959180786573308,-0.268294947531078,1000,0.413132667541504,0.417123794555664
